album,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
21 Guns (feat. The Cast of American Idiot),Green Day,spotify:track:3DnG0TWnSc0fs6quO4sKXU,0.352,0.643,10,-5.115,1,0.0338,0.239,0.0,0.105,0.292,161.995
When I'm Gone,3 Doors Down,spotify:track:3WbphvawbMZ8FyqDxYGdSQ,0.53,0.768,7,-5.611,1,0.0284,0.00385,0.0,0.103,0.374,148.095
Little Talks,Of Monsters and Men,spotify:track:2ihCaVdNZmnHZWt0fvAM7B,0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961
Crazy B*tch,Buckcherry,spotify:track:1gtHjIoQIU5XIcRGjn7DfH,0.599,0.977,1,-3.061,0,0.133,0.0257,0.0,0.0866,0.568,97.985
Breaking the Habit,Linkin Park,spotify:track:6n8TMVyFKoUmDc4apxceRD,0.579,0.849,4,-5.218,0,0.0303,0.108,0.0,0.0909,0.581,100.021
In the End,Linkin Park,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143
Bleed It Out,Linkin Park,spotify:track:0UFDKFqW2oGspYeYqo9wjA,0.529,0.967,1,-3.647,0,0.0508,0.114,0.0,0.61,0.596,140.127
Forever In Blue Jeans,Neil Diamond,spotify:track:1K1nzhbKCNmrNXi9B07mPF,0.706,0.39,9,-13.673,1,0.0324,0.0221,3.81e-05,0.0944,0.839,90.584
Coming to America,Neil Diamond,spotify:track:0WUwK944tQYw6V2OEBbKQj,0.242,0.303,8,-15.987,1,0.0396,0.972,0.907,0.0949,0.149,76.866
Fidelity,Regina Spektor,spotify:track:6GskIhdM6TN6EkPgeSjVfW,0.923,0.518,5,-6.008,1,0.0492,0.52,0.000142,0.104,0.682,93.023
Soak Up The Sun,Sheryl Crow,spotify:track:215JYyyUnrJ98NK3KEwu6d,0.717,0.733,4,-4.985,1,0.0427,0.0398,0.0,0.136,0.713,119.996
Kiss Me I'm #!@'faced,Dropkick Murphys,spotify:track:76JBKwPnXX4SjpTrOMfTNM,0.292,0.912,3,-2.077,1,0.0561,0.00259,0.0,0.0853,0.475,79.298
Billionaire (feat. Bruno Mars),Travie McCoy,spotify:track:2M9ULmQwTaTGmAdXaXpfz5,0.633,0.673,6,-6.403,0,0.258,0.297,0.0,0.206,0.659,86.776
Take A Bow,Rihanna,spotify:track:3mmjD9G2HUUzDbFl3NRDLM,0.697,0.467,9,-7.536,1,0.0715,0.248,0.0,0.0941,0.572,82.081
Beat on the Brat - 2016 Remaster,Ramones,spotify:track:55mKuESqpfgqe0kooIkTH2,0.481,0.88,4,-1.108,1,0.176,0.00305,0.642,0.13,0.961,156.859
I Don't Care - 2002 Remaster,Ramones,spotify:track:7KbwwsvglWtL4aqVFhFfdG,0.642,0.796,2,-7.981,1,0.0305,0.0804,0.000293,0.169,0.689,136.095
We Want the Airwaves - 2002 Remaster,Ramones,spotify:track:6x7B9cDXyH4X7lCwH6B40o,0.438,0.979,9,-3.82,0,0.0403,0.0167,0.0408,0.3,0.513,142.912
I Wanna Be Sedated - 2002 Remaster,Ramones,spotify:track:6vvmYYUvGXtZLU8msxKvzF,0.597,0.96,11,-3.989,1,0.042,0.169,2.89e-05,0.105,0.937,163.017
53rd & 3rd - Remastered Version,Ramones,spotify:track:3dqu92ZvdxKZTJ8PnRD7rL,0.59,0.828,9,-5.422,1,0.0448,0.0553,0.000307,0.109,0.903,134.936
Thank You,Ray Boltz,spotify:track:6xvyHB0hRzt4ZUrp3RWz0h,0.393,0.241,7,-13.209,1,0.0346,0.677,0.0,0.108,0.119,125.599
The Altar,Ray Boltz,spotify:track:59TTPd9hQSLxbfgsrFqX3a,0.371,0.224,7,-13.502,1,0.0299,0.711,0.0,0.242,0.149,130.027
Watch the Lamb,Ray Boltz,spotify:track:5Kbu6EfNuU8NlH9IiQ9DQp,0.446,0.0382,1,-21.358,1,0.0426,0.823,0.0,0.0979,0.107,121.98
Rock 'n' Roll High School,Ramones,spotify:track:3iDQWZabT5WtDDLPhPuutK,0.391,0.912,6,-8.624,1,0.133,0.524,0.000315,0.35,0.701,193.782
Africa,TOTO,spotify:track:2374M0fQpWi3dLnB54qaLX,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718
Barbie Girl,Aqua,spotify:track:2ZCTP54O2dMSbVrdsg60to,0.764,0.948,1,-4.355,0,0.0402,0.00929,0.0773,0.416,0.911,129.967
I Write The Songs,Barry Manilow,spotify:track:5VU6nvX3BqkqBmOJ2d9vhW,0.397,0.381,3,-8.553,1,0.0294,0.835,0.0,0.0829,0.423,148.649
"Gone, Gone, Gone",Phillip Phillips,spotify:track:5L79aNYCTKiZq7vaOElXYj,0.664,0.642,6,-5.961,1,0.038,0.129,0.0,0.114,0.501,118.002
Welcome to the Black Parade,My Chemical Romance,spotify:track:5wQnmLuC1W7ATsArWACrgW,0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95
Metal Crusade - Instrumental Version,Mortification,spotify:track:5xIztQZYw30ToPbkCmVDqM,0.253,0.574,0,-12.488,1,0.0314,1.22e-05,0.651,0.0466,0.171,82.061
Papa Was A Rollin' Stone - Single Version,The Temptations,spotify:track:1zC9mSQAH2fn3DGscYRuCY,0.82,0.427,10,-12.728,0,0.0827,0.459,0.0494,0.0447,0.887,121.481
Just Dropped In (To See What Condition My Condition Is In),Kenny Rogers & The First Edition,spotify:track:1dWvuCErtHSFAuDVzjbLeb,0.575,0.555,9,-12.528,0,0.0465,0.356,0.00149,0.154,0.616,115.003
Apologize,OneRepublic,spotify:track:6fOPuabPdAJ0HgqJFcDGb1,0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008
Just Give Me a Reason (feat. Nate Ruess),P!nk,spotify:track:1mKXFLRA179hdOWQBwUk9e,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002
Poker Face,Lady Gaga,spotify:track:1QV6tiMFM6fSOKOGLMHYYg,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999
1985,Bowling For Soup,spotify:track:4UuHWIkAWnN176A2rx7YFB,0.607,0.878,4,-4.422,1,0.0665,0.000246,0.0,0.337,0.853,119.955
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,spotify:track:0qcr5FMsEO85NAQjrlDRKo,0.543,0.485,8,-6.85,1,0.0305,0.558,0.0,0.12,0.371,136.961
Graduation (Friends Forever),Vitamin C,spotify:track:45V4Mk7vZV2b9JfSWuUX9m,0.583,0.637,0,-6.464,1,0.0459,0.00722,0.0419,0.177,0.315,80.004
Youth of the Nation,P.O.D.,spotify:track:0UrWr7Jnu1heq1o99ZwUd0,0.563,0.86,8,-7.533,1,0.0621,0.00834,0.0106,0.39,0.517,97.867
American Pie,Don McLean,spotify:track:2QgWuCtBpNIpl5trmKCxRf,0.526,0.509,7,-10.893,1,0.0628,0.6,0.0,0.144,0.497,138.318
The Loco-Motion - Remastered 2002,Grand Funk Railroad,spotify:track:0PxYWaGiwWtcuL1VIMiEW4,0.456,0.933,0,-5.212,1,0.153,0.375,0.0,0.563,0.367,125.051
Cats in the Cradle,Harry Chapin,spotify:track:6hLqEJg2GnnDG4W0Y64hyD,0.463,0.484,10,-13.259,1,0.0395,0.456,0.0,0.125,0.513,77.521
Blinded By The Light (Single edit),Manfred Mann's Earth Band,spotify:track:6jkNs6ZRiLjIk87MWmSGWu,0.594,0.561,5,-11.666,1,0.0603,0.524,0.00222,0.0724,0.617,140.286
Reunited,Peaches & Herb,spotify:track:2Y18kxNc1F6Ut6t5eyKsRD,0.607,0.462,5,-10.004,0,0.0287,0.614,8.42e-06,0.0724,0.346,75.752
Escape (The Pina Colada Song),Rupert Holmes,spotify:track:5IMtdHjJ1OtkxbGe4zfUxQ,0.836,0.509,0,-13.668,1,0.0548,0.467,4.1e-06,0.0436,0.949,138.714
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,spotify:track:3gdewACMIVMEWVbyb8O9sY,0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571
Coming to America (Originally Performed by Neil Diamond) [Vocal Version],Mega Tracks Karaoke Band,spotify:track:6hQEX21Gojb06Ye29ELIQw,0.578,0.492,0,-12.713,1,0.0296,0.0096,9.11e-05,0.256,0.202,126.823
You May Be Right,Billy Joel,spotify:track:7gMOe0gXYcELUoVugfMmHP,0.567,0.945,9,-7.243,1,0.0458,0.175,2.6e-06,0.35,0.961,150.792
Only the Good Die Young,Billy Joel,spotify:track:4gehZ6WYqLOXZpmMEq3Em9,0.519,0.875,0,-6.488,1,0.132,0.223,0.0,0.0915,0.766,152.092
The Entertainer,Billy Joel,spotify:track:60m29Z8TtocKOqDlQEbwUS,0.611,0.912,0,-6.775,1,0.0398,0.105,0.0,0.117,0.77,101.307
The Longest Time,Billy Joel,spotify:track:5DH7nDryMhpixm4G4B7RP9,0.637,0.333,3,-9.603,1,0.0262,0.181,0.0,0.147,0.588,84.347
We Didn't Start the Fire,Billy Joel,spotify:track:3Cx4yrFaX8CeHwBMReOWXI,0.712,0.967,7,-5.206,1,0.047,0.0771,0.0,0.356,0.895,145.024
Saturday Night,Bay City Rollers,spotify:track:78zYiMv9yNTHgmm6kaUPCm,0.514,0.681,7,-10.026,1,0.065,0.199,0.0356,0.0745,0.913,136.821
Don't Go Breaking My Heart,Elton John,spotify:track:7cKUyLDvGKMd12ovtOU0z5,0.725,0.838,5,-9.063,1,0.0355,0.18,2.36e-06,0.112,0.746,131.478
Play That Funky Music,Wild Cherry,spotify:track:0D7L4pBEGv8ni1cRfaTdMJ,0.822,0.87,9,-6.257,1,0.0592,0.124,0.0,0.045,0.901,109.174
Your Heroes Are Dead,Project 86,spotify:track:2Jer3BnbQIcIFsVDg6wbkA,0.504,0.797,10,-4.305,1,0.0493,0.000105,0.148,0.0393,0.654,97.547
Dreamer,Ozzy Osbourne,spotify:track:78PKCefXwDLbl4FVO1Pjzh,0.493,0.636,1,-7.408,1,0.0256,0.0629,2.49e-06,0.0921,0.279,79.419
One (Is the Loneliest Number),The Tao Of Groove,spotify:track:3I9LiI3us93jBM5o1yheUk,0.789,0.494,4,-9.496,0,0.0324,0.407,0.808,0.226,0.781,120.025
The First Cut Is the Deepest - Acoustic Version,Sheryl Crow,spotify:track:4PzPvpE63ttEbKyMDRWB6q,0.638,0.336,2,-7.52,1,0.0248,0.759,0.0,0.0728,0.567,78.86
Bye Bye Beautiful,Nightwish,spotify:track:2eH4Gr5hftdzWsVPG5dild,0.488,0.88,9,-5.158,1,0.045,0.000121,0.000783,0.103,0.389,148.051
Amaranth,Nightwish,spotify:track:0cYduKz7njWaJ73PGn6OGW,0.553,0.874,2,-3.685,0,0.0401,0.00388,0.00184,0.104,0.319,127.961
Eva,Nightwish,spotify:track:0lnVq02DwGozJDsFrri7Ei,0.42,0.377,6,-7.203,0,0.0264,0.339,0.000123,0.166,0.0969,103.989
Meadows Of Heaven,Nightwish,spotify:track:0m6WZpB4ky6Mrx4NGkwQL7,0.369,0.433,7,-6.67,0,0.0331,0.04,0.000517,0.109,0.069,119.984
Wish I Had An Angel,Nightwish,spotify:track:68VaQ8E7fhveKNkEIdD7Q9,0.424,0.944,4,-6.031,0,0.0576,9.82e-06,0.065,0.345,0.502,158.997
Rio - US Edit,Duran Duran,spotify:track:68x0eW1iIqXU0exrafu8Ti,0.563,0.869,9,-8.163,1,0.052,0.0235,1.14e-05,0.2,0.716,140.587
Just Give Me a Reason (feat. Nate Ruess),P!nk,spotify:track:4VC5nFbYO4avKksJ9jN4pY,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002
Blow Me (One Last Kiss),P!nk,spotify:track:0ald9Hqm3CG03WWHUOgFoo,0.587,0.924,7,-2.918,1,0.041,0.000133,0.0,0.285,0.746,113.998
Baby Got Back,Sir Mix-A-Lot,spotify:track:4vvOv6MDFFPpEb1gwwb2ZD,0.937,0.654,8,-11.187,1,0.322,0.00533,1.26e-06,0.0542,0.607,128.462
Numb,Linkin Park,spotify:track:2nLtzopw4rPReszdYBJU6h,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018
Stronger (What Doesn't Kill You),Kelly Clarkson,spotify:track:6D60klaHqbCl9ySc8VcRss,0.562,0.939,0,-4.282,1,0.0475,0.046,0.0,0.112,0.684,116.044
Diamonds,Rihanna,spotify:track:7Kt59L2ZZGtOnIhvMwzG6f,0.564,0.71,11,-4.92,0,0.0461,0.00125,0.0,0.109,0.393,91.972
Bad Romance,Lady Gaga,spotify:track:1CZOrmHUUjeDP7N2B4Ba6S,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001
Demons,Imagine Dragons,spotify:track:3LlAyCYU26dvFZBDUIMb7a,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938
Let Her Go,Passenger,spotify:track:3f5NR54YGbEi4kVF5ORMt1,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.244,74.897
One More Night,Maroon 5,spotify:track:4XNrMwGx1SqP01sqkGTDmo,0.718,0.82,5,-3.453,0,0.0323,0.0444,0.0,0.0846,0.613,92.998
Burn,Ellie Goulding,spotify:track:2GgxS8bUT5G25QJTsfSv0R,0.559,0.777,1,-5.031,1,0.0432,0.31,0.0,0.105,0.329,87.016
Counting Stars,OneRepublic,spotify:track:6sy3LkhNFjJWlaeSMNwQ62,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017
Give Your Heart a Break,Demi Lovato,spotify:track:3gCDFNnyBoPP5rkBAn8EAR,0.651,0.695,6,-3.218,1,0.0487,0.23,0.0,0.144,0.569,123.008
Hello,Adele,spotify:track:4aebBr4JAihzJQR0CiIZJv,0.47,0.431,5,-6.129,0,0.0342,0.329,0.0,0.0854,0.289,157.98
Before He Cheats,Carrie Underwood,spotify:track:0ZUo4YjG4saFnEJhdWp9Bt,0.519,0.749,6,-3.318,0,0.0405,0.271,0.0,0.119,0.29,147.905
Heathens,Twenty One Pilots,spotify:track:6i0V12jOa3mr6uu4WYhUBr,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024
Waterfalls,TLC,spotify:track:6qspW4YKycviDFjHBOaqUY,0.769,0.505,1,-7.345,1,0.0829,0.311,7.49e-05,0.0777,0.757,171.804
Clint Eastwood,Gorillaz,spotify:track:4wWfO3quW5mDQZTiYeNnqS,0.662,0.716,10,-7.575,0,0.16,0.028,0.0,0.0727,0.548,167.947
Welcome Home - EP Version,Radical Face,spotify:track:5Z0yHorrDg5GqRpje4SKRy,0.598,0.488,6,-10.905,1,0.0307,0.741,0.779,0.0945,0.396,144.977
Gossip Folks (feat. Ludacris),Missy Elliott,spotify:track:75DjPjiIp2fvJDjtt41Jfs,0.707,0.538,0,-5.264,1,0.505,0.362,0.0,0.317,0.439,121.732
Fuck You,CeeLo Green,spotify:track:4ycLiPVzE5KamivXrAzGFG,0.69,0.834,0,-5.79,1,0.0566,0.129,0.0,0.136,0.738,127.43
Music,Madonna,spotify:track:27cXevtj5VflsCUAZwr9eI,0.738,0.852,7,-6.13,1,0.0766,0.00153,0.0895,0.178,0.834,119.735
The Lion Sleeps Tonight,Jay Siegel's Tokens,spotify:track:1vndnK1pWEylzsx9PPw3nK,0.366,0.598,5,-8.272,1,0.0425,0.434,0.0,0.124,0.552,135.597
Down By The Water,The Decemberists,spotify:track:7IxWqdG1zG0gaAFYq2q0Iy,0.487,0.81,4,-4.067,0,0.0357,0.000754,0.0,0.352,0.702,123.493
Who Are You,The Who,spotify:track:02DurCgOvDdX0uKEjqcl3W,0.653,0.631,9,-11.334,1,0.0461,0.299,0.00265,0.0627,0.516,156.32
Old Time Rock and Roll,Sam Morrison and Turn The Page,spotify:track:6Hyi9dmoyyDmxYEOUxGqBs,0.728,0.921,5,-3.302,1,0.0323,0.05,7.92e-06,0.137,0.936,124.143
Hot Patootie (Bless My Soul) What Ever Happened to Saturday Night,Adam Lambert,spotify:track:4zwGFFad49bSLJQxGQ4wWH,0.486,0.918,11,-4.181,0,0.125,0.0121,0.00372,0.0697,0.734,164.038
Karma Chameleon,Culture Club,spotify:track:48O0GrGJWml3DzHhC5sJ7a,0.676,0.577,10,-12.031,1,0.0365,0.186,0.0,0.148,0.934,91.98
Try,P!nk,spotify:track:01DSvNTUsVROjnSF5j3UbD,0.673,0.629,2,-7.072,1,0.0299,0.00141,0.0,0.0944,0.551,103.998
In the Ghetto,Elvis Presley,spotify:track:6csLL0MBNVIMx19PfsKsW7,0.477,0.415,10,-10.592,1,0.0313,0.754,0.00356,0.104,0.418,87.907
All Summer Long,Kid Rock,spotify:track:5rX6C5QVvvZB7XckETNych,0.7,0.864,7,-3.629,1,0.0283,0.0212,0.0,0.0956,0.887,102.997
Lean on Me,Bill Withers,spotify:track:20kN7bu0HMO8rIVY6tEytW,0.621,0.246,0,-11.162,1,0.0598,0.81,1.21e-05,0.133,0.452,75.093
I Don't Wanna Be In Love (Dance Floor Anthem),Good Charlotte,spotify:track:3AJk0zltdY4XjD2be7a7ss,0.642,0.875,6,-3.14,1,0.042,0.0233,0.0,0.19,0.556,124.946
I'm Not Okay (I Promise),My Chemical Romance,spotify:track:7lRlq939cDG4SzWOF4VAnd,0.21,0.94,9,-3.427,1,0.123,0.00602,0.0,0.269,0.255,179.722
Girls & Boys,Good Charlotte,spotify:track:65mxB9IWpmVo4qUjdGSxRB,0.663,0.72,3,-5.497,1,0.0331,0.00212,0.0,0.358,0.608,135.342
Amnesia,Chumbawamba,spotify:track:3WiXr3CXD3jYSqmQlUYlnn,0.663,0.776,6,-8.111,1,0.0417,0.0155,0.292,0.0885,0.444,124.731
Tubthumping,Chumbawamba,spotify:track:5YScXJKtefsgdskIy60N7A,0.263,0.871,2,-7.496,1,0.131,0.106,0.0,0.363,0.622,206.68
Tell It to My Heart,Taylor Dayne,spotify:track:6jJCk7oHNwyowOUaF3gXEu,0.677,0.985,1,-4.678,1,0.0549,0.07,3.62e-05,0.351,0.87,118.092
Dirty Deeds Done Dirt Cheap,AC/DC,spotify:track:2d4e45fmUnguxh6yqC7gNT,0.668,0.906,11,-4.881,0,0.17,0.214,0.00245,0.135,0.507,135.653
"White Wedding - Live On VH1 Storytellers, New York City, New York/2001",Billy Idol,spotify:track:6lkCnFeziGpvbsMcAB2DoR,0.488,0.481,6,-9.514,0,0.0397,0.769,3.33e-06,0.877,0.556,155.507
Ridin' Dirty,Danny Dove,spotify:track:1XdWLLUhP3r8X9W4OB6TCy,0.797,0.782,1,-5.69,0,0.103,0.0013,0.00155,0.0491,0.377,121.019
Get Low,Lil Jon & The East Side Boyz,spotify:track:0r2Bul2NuCViraT2zX1l5j,0.521,0.625,1,-7.47,1,0.067,0.0301,0.0,0.121,0.136,101.019
Gangsta's Paradise (feat. L.V.),Coolio,spotify:track:3u9fHuAtjMY1RW2mZfO4Cf,0.641,0.63,8,-6.393,1,0.0521,0.0372,0.0,0.4,0.415,79.955
Bohemian Rhapsody - Remastered 2011,Queen,spotify:track:7tFiyTwD0nx5a1eklYtX2J,0.392,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,0.228,143.883
It's My Life,Bon Jovi,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992
Life Could Be A Dream,Street Corner Renaissance,spotify:track:1v6CmIvbcquM8rKR33Kc6e,0.616,0.455,6,-5.946,1,0.045,0.886,0.0,0.134,0.762,126.049
He Reigns,Newsboys,spotify:track:4mzm2S7WzWJWcTVEut18rB,0.56,0.653,0,-6.282,1,0.0468,0.413,1.19e-06,0.0971,0.655,182.37
Breakfast,Newsboys,spotify:track:2vLxjS0U2CuaqxEossXLDS,0.44,0.901,9,-4.733,1,0.0598,0.0531,0.000361,0.927,0.519,202.389
Devils,Say Hi,spotify:track:0Aizdb8F5NdFvDCZ1OnB1i,0.772,0.526,0,-8.723,1,0.0701,0.649,2.88e-06,0.125,0.566,124.071
"Go And Sin No More - With Embedded Track ""Psalm 139""",Rebecca St. James,spotify:track:1cCIrVaU7hlazMLkjFjcFX,0.555,0.835,0,-4.712,0,0.0408,0.0329,2.34e-05,0.0937,0.476,98.007
Cum on Feel the Noize,Quiet Riot,spotify:track:3vV3cr2TpPqFk07zxYUbla,0.409,0.92,11,-5.439,0,0.12,0.00719,0.00105,0.0823,0.37,145.085
Here I Go Again,Whitesnake,spotify:track:29pzjF6ZkzcW3ofgOVbF0t,0.213,0.634,4,-12.967,0,0.0596,0.369,0.00199,0.359,0.354,174.443
Ready Or Not,DeGarmo & Key,spotify:track:1RDRwPXAP6hSxBIa41wN2w,0.759,0.568,9,-12.67,1,0.0312,0.137,0.00312,0.228,0.647,122.372
"Johnny, I Hardly Knew Ya",Dropkick Murphys,spotify:track:7qjKgC94B30FRoOcHnMrfx,0.334,0.974,11,-2.311,0,0.1,0.00869,0.0,0.37,0.33,102.823
Du hast,Rammstein,spotify:track:1dS1SUD3vr0McKwez9MqAY,0.638,0.918,9,-6.294,0,0.0385,0.00437,0.0706,0.331,0.723,125.066
Ich will,Rammstein,spotify:track:1SlMYQmLe0yNEvBIfaPTAW,0.648,0.896,2,-4.254,1,0.041,0.00138,0.000819,0.0879,0.468,128.115
Engel,Rammstein,spotify:track:1MWaSUHDZBjPrsyaVxruqx,0.638,0.664,2,-5.767,1,0.0294,0.00872,0.00451,0.173,0.323,96.078
Another Saturday Night,Yusuf / Cat Stevens,spotify:track:3d6BLhDLG07jgUuTgJ1crq,0.753,0.863,5,-7.084,1,0.113,0.613,7.03e-06,0.0478,0.964,139.964
17 Magazine,Relient K,spotify:track:5Vgzb4ViXEAvgVgCMexO98,0.512,0.724,7,-4.752,1,0.045,0.00398,8.88e-06,0.101,0.836,164.292
The Sun Also Rises,Brave Saint Saturn,spotify:track:1riMbTj6HbiQ0tpD1aRema,0.698,0.863,4,-2.133,1,0.0474,0.0124,0.0,0.128,0.952,111.987
Binary,Brave Saint Saturn,spotify:track:1PZ2EyaidWiuFI6T6lvaPw,0.659,0.714,3,-3.688,1,0.0263,0.0213,1.14e-06,0.0891,0.184,80.961
Two Sets of Jones',Big Tent Revival,spotify:track:2fRSNaAEfM2s2Ng9KLYAbZ,0.438,0.401,3,-9.631,1,0.0317,0.319,0.0,0.234,0.322,172.89
Take Me To Your Leader,Newsboys,spotify:track:4RHsQ5GU8r4UZmz4yXp50C,0.424,0.871,2,-5.606,1,0.0909,0.0165,0.0,0.193,0.797,184.864
Seven Bridges Road - Live; 1999 Remaster,Eagles,spotify:track:1osAmhnIT0rtuqLZ1IliBQ,0.356,0.331,7,-11.065,1,0.0435,0.445,0.0,0.891,0.263,111.995
Walk Like an Egyptian,The Bangles,spotify:track:1Jwc3ODLQxtbnS8M9TflSP,0.724,0.891,11,-7.818,1,0.0995,0.00344,4.72e-05,0.3,0.818,103.022
A Girl Like You,Edwyn Collins,spotify:track:6XOINCZBv8Q7RXgNNiTwIN,0.619,0.781,5,-7.455,0,0.0393,0.0243,0.000286,0.402,0.533,126.267
Wonderwall - Remastered,Oasis,spotify:track:5wj4E6IsrVtn8IBJQOd0Cl,0.372,0.865,2,-4.918,1,0.0381,0.000453,0.0,0.234,0.478,174.53
Kiss from a Rose,The Arrival,spotify:track:32VpEzX4WLd2SDFJrbmWbL,0.415,0.748,1,-5.294,1,0.0341,0.000212,0.000101,0.529,0.338,131.892
You Sexy Thing - Remix,Hot Chocolate,spotify:track:7lF0hDHOk5sa1Ml2fafN9J,0.688,0.843,5,-6.231,0,0.0486,0.0506,0.000764,0.321,0.867,106.516
As I Lay Me Down,Sophie B. Hawkins,spotify:track:6S8ZXzeXsfCj8qi9179McI,0.519,0.737,10,-8.7,1,0.0437,0.645,1.77e-06,0.271,0.668,82.999
Sinnerman,Nina Simone,spotify:track:75lnIEQ3aQmKPES7V9UWA1,0.436,0.529,11,-13.818,0,0.103,0.636,1.22e-05,0.0849,0.685,147.361
Sweet Child O' Mine,Guns N' Roses,spotify:track:4MhTFsyqIJnjsOweVcU8ug,0.449,0.901,6,-7.711,1,0.0526,0.141,0.0675,0.128,0.696,125.148
Brown Eyed Girl,Van Morrison,spotify:track:3yrSvpt2l1xhsV9Em88Pul,0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566
Where I Come From,Alan Jackson,spotify:track:6ej1QJ8eIYmhsyTlvgDajy,0.726,0.631,11,-8.136,0,0.0334,0.22,0.0,0.193,0.746,124.711
What Was I Thinkin',Dierks Bentley,spotify:track:0r8iDf65NHgFgZOGLwj5r8,0.551,0.825,5,-6.24,0,0.044,0.152,6.2e-06,0.0999,0.933,164.857
The Rose,Bette Midler,spotify:track:5iUzEn2QzBW0KEWNQO1KQC,0.258,0.0971,0,-13.002,1,0.0302,0.94,0.0,0.122,0.0767,65.346
Every Rose Has Its Thorn - Remastered 2003,Poison,spotify:track:43GS3mtezoIFiuIZCLLiDY,0.533,0.637,6,-5.571,1,0.0323,0.16,1.12e-05,0.369,0.292,140.167
"Six, Six, Six - Remix",DeGarmo & Key,spotify:track:4Xaxo87vsoPM0xF6UwcuaD,0.725,0.528,9,-11.269,0,0.0283,0.158,9.9e-05,0.105,0.544,98.598
You Are Loved,Altar Boys,spotify:track:1MITsJMvdf4RKlhwmcuPEM,0.505,0.868,0,-10.796,1,0.0436,0.0795,0.0,0.318,0.742,145.294
Breakeven,The Script,spotify:track:38xWaVFKaxZlMFvzNff2aW,0.627,0.699,10,-4.504,1,0.0244,0.174,0.0,0.0789,0.535,94.003
MMMBop,Hanson,spotify:track:0YYbQESOOReEZjVzbYJtMC,0.685,0.948,9,-5.182,1,0.0457,0.00513,0.00347,0.17,0.628,104.881
Hearts Lost In Nowhere,Altar Boys,spotify:track:0V5YXAdzGswarumTwkeAz3,0.356,0.793,9,-10.729,1,0.0806,0.000603,3.34e-05,0.121,0.633,190.29
Live Like You Were Dying,Tim McGraw,spotify:track:5uaTGZyDMK1iZ9eW1qeBEX,0.416,0.546,7,-7.728,1,0.0297,0.492,0.0,0.0845,0.418,159.929
You're No Good,Linda Ronstadt,spotify:track:23DZLSxCK6kM8FF2RlzKDl,0.669,0.52,8,-10.136,1,0.0345,0.245,0.00535,0.126,0.634,104.812
For Those About to Rock (We Salute You),AC/DC,spotify:track:17lu4tymfnhmcIDlzBbtAb,0.37,0.919,4,-5.721,1,0.102,0.000376,0.419,0.49,0.471,134.021
Schadenfreude,Natalie Venetia Belcon,spotify:track:0fajMX89sy4Z2fGq2GxxHq,0.622,0.496,2,-6.064,1,0.207,0.7,0.0,0.106,0.561,149.165
Paradise By the Dashboard Light,Meat Loaf,spotify:track:2g7gviEeJr6pyxO7G35EWQ,0.326,0.872,2,-7.602,1,0.122,0.214,0.0,0.461,0.492,173.381
Water,Pentatonix,spotify:track:0AMydQFel4RVQbIN30Fjik,0.335,0.579,2,-6.98,0,0.0632,0.277,0.0,0.0606,0.404,80.317
Bohemian Rhapsody,Pentatonix,spotify:track:0lrkMvRttmoXjMNS8YONvj,0.341,0.42,8,-6.567,1,0.0318,0.183,0.0,0.0967,0.306,145.808
Can't Help Falling In Love,Pentatonix,spotify:track:1xKScU3i8ho0OIhNoC5YW9,0.272,0.16,9,-9.947,1,0.0323,0.729,0.0,0.18,0.142,98.612
